step,atom,atomic_num,molecule,solv_molecule,coord_x,coord_y,coord_z,elec_pot,mol_id,atom_id,system_energy,gas_energy,efp_energy,interaction_energy,system_energy_w/oEFP,corr_energy
1768,H,1,methanol,acetonitrile,0.403238,1.455027,-0.47741,0.0065105,mol2_acetonitrile_1082_s_acetonitrile_15,mol2_acetonitrile_1082_s_acetonitrile_155,-115.6742552,-115.672332,-0.00273206,-0.00192314,-115.6715231,0.00080892
1769,C,6,methanol,acetonitrile,-0.12468,-0.29537,0.11243,0.00289701,mol2_acetonitrile_1082_s_acetonitrile_25,mol2_acetonitrile_1082_s_acetonitrile_250,-115.6752406,-115.672332,-0.003454598,-0.00290858,-115.671786,0.000546018
1769,O,8,methanol,acetonitrile,0.598061,0.574583,-0.80339,-0.00010015,mol2_acetonitrile_1082_s_acetonitrile_25,mol2_acetonitrile_1082_s_acetonitrile_251,-115.6752406,-115.672332,-0.003454598,-0.00290858,-115.671786,0.000546018
1769,H,1,methanol,acetonitrile,0.458266,-0.456991,1.062089,0.00324418,mol2_acetonitrile_1082_s_acetonitrile_25,mol2_acetonitrile_1082_s_acetonitrile_252,-115.6752406,-115.672332,-0.003454598,-0.00290858,-115.671786,0.000546018
1769,H,1,methanol,acetonitrile,-1.095688,-0.009462,0.502943,0.00590459,mol2_acetonitrile_1082_s_acetonitrile_25,mol2_acetonitrile_1082_s_acetonitrile_253,-115.6752406,-115.672332,-0.003454598,-0.00290858,-115.671786,0.000546018
1769,H,1,methanol,acetonitrile,-0.229649,-1.268581,-0.392488,0.0019627,mol2_acetonitrile_1082_s_acetonitrile_25,mol2_acetonitrile_1082_s_acetonitrile_254,-115.6752406,-115.672332,-0.003454598,-0.00290858,-115.671786,0.000546018
1769,H,1,methanol,acetonitrile,0.403238,1.455027,-0.47741,-0.00025551,mol2_acetonitrile_1082_s_acetonitrile_25,mol2_acetonitrile_1082_s_acetonitrile_255,-115.6752406,-115.672332,-0.003454598,-0.00290858,-115.671786,0.000546018
1771,C,6,methanol,acetonitrile,-0.16915,-0.30967,0.13393,0.00811559,mol2_acetonitrile_1089_s_acetonitrile_15,mol2_acetonitrile_1089_s_acetonitrile_150,-115.6748824,-115.6719992,-0.003564798,-0.00288319,-115.6713176,0.000681607
1771,O,8,methanol,acetonitrile,0.581826,0.524171,-0.810763,0.0054586,mol2_acetonitrile_1089_s_acetonitrile_15,mol2_acetonitrile_1089_s_acetonitrile_151,-115.6748824,-115.6719992,-0.003564798,-0.00288319,-115.6713176,0.000681607
1771,H,1,methanol,acetonitrile,0.436323,-0.406038,1.009496,0.00801099,mol2_acetonitrile_1089_s_acetonitrile_15,mol2_acetonitrile_1089_s_acetonitrile_152,-115.6748824,-115.6719992,-0.003564798,-0.00288319,-115.6713176,0.000681607
1771,H,1,methanol,acetonitrile,-1.133435,0.018999,0.511197,0.0115432,mol2_acetonitrile_1089_s_acetonitrile_15,mol2_acetonitrile_1089_s_acetonitrile_153,-115.6748824,-115.6719992,-0.003564798,-0.00288319,-115.6713176,0.000681607
1771,H,1,methanol,acetonitrile,-0.281445,-1.258266,-0.346129,0.00671087,mol2_acetonitrile_1089_s_acetonitrile_15,mol2_acetonitrile_1089_s_acetonitrile_154,-115.6748824,-115.6719992,-0.003564798,-0.00288319,-115.6713176,0.000681607
1771,H,1,methanol,acetonitrile,0.552696,1.444213,-0.489713,0.00581842,mol2_acetonitrile_1089_s_acetonitrile_15,mol2_acetonitrile_1089_s_acetonitrile_155,-115.6748824,-115.6719992,-0.003564798,-0.00288319,-115.6713176,0.000681607
1772,C,6,methanol,acetonitrile,-0.16915,-0.30967,0.13393,0.00253152,mol2_acetonitrile_1089_s_acetonitrile_25,mol2_acetonitrile_1089_s_acetonitrile_250,-115.6757927,-115.6719992,-0.004228299,-0.00379355,-115.6715644,0.000434749
1772,O,8,methanol,acetonitrile,0.581826,0.524171,-0.810763,-0.00029031,mol2_acetonitrile_1089_s_acetonitrile_25,mol2_acetonitrile_1089_s_acetonitrile_251,-115.6757927,-115.6719992,-0.004228299,-0.00379355,-115.6715644,0.000434749
1772,H,1,methanol,acetonitrile,0.436323,-0.406038,1.009496,0.00229418,mol2_acetonitrile_1089_s_acetonitrile_25,mol2_acetonitrile_1089_s_acetonitrile_252,-115.6757927,-115.6719992,-0.004228299,-0.00379355,-115.6715644,0.000434749
1772,H,1,methanol,acetonitrile,-1.133435,0.018999,0.511197,0.00550919,mol2_acetonitrile_1089_s_acetonitrile_25,mol2_acetonitrile_1089_s_acetonitrile_253,-115.6757927,-115.6719992,-0.004228299,-0.00379355,-115.6715644,0.000434749
1772,H,1,methanol,acetonitrile,-0.281445,-1.258266,-0.346129,0.00194707,mol2_acetonitrile_1089_s_acetonitrile_25,mol2_acetonitrile_1089_s_acetonitrile_254,-115.6757927,-115.6719992,-0.004228299,-0.00379355,-115.6715644,0.000434749
1772,H,1,methanol,acetonitrile,0.552696,1.444213,-0.489713,-0.00076342,mol2_acetonitrile_1089_s_acetonitrile_25,mol2_acetonitrile_1089_s_acetonitrile_255,-115.6757927,-115.6719992,-0.004228299,-0.00379355,-115.6715644,0.000434749
1774,C,6,methanol,acetonitrile,-0.20128,-0.29862,0.15482,0.00842376,mol2_acetonitrile_1098_s_acetonitrile_15,mol2_acetonitrile_1098_s_acetonitrile_150,-115.6751141,-115.6721292,-0.003454875,-0.00298485,-115.6716592,0.000470025
1774,O,8,methanol,acetonitrile,0.55777,0.479612,-0.817342,0.00572084,mol2_acetonitrile_1098_s_acetonitrile_15,mol2_acetonitrile_1098_s_acetonitrile_151,-115.6751141,-115.6721292,-0.003454875,-0.00298485,-115.6716592,0.000470025
1774,H,1,methanol,acetonitrile,0.471695,-0.381486,1.052338,0.00803023,mol2_acetonitrile_1098_s_acetonitrile_15,mol2_acetonitrile_1098_s_acetonitrile_152,-115.6751141,-115.6721292,-0.003454875,-0.00298485,-115.6716592,0.000470025
1774,H,1,methanol,acetonitrile,-1.228852,0.144548,0.428858,0.01197685,mol2_acetonitrile_1098_s_acetonitrile_15,mol2_acetonitrile_1098_s_acetonitrile_153,-115.6751141,-115.6721292,-0.003454875,-0.00298485,-115.6716592,0.000470025
1774,H,1,methanol,acetonitrile,-0.316211,-1.307918,-0.295523,0.0068048,mol2_acetonitrile_1098_s_acetonitrile_15,mol2_acetonitrile_1098_s_acetonitrile_154,-115.6751141,-115.6721292,-0.003454875,-0.00298485,-115.6716592,0.000470025
1774,H,1,methanol,acetonitrile,0.721835,1.378851,-0.50726,0.00575154,mol2_acetonitrile_1098_s_acetonitrile_15,mol2_acetonitrile_1098_s_acetonitrile_155,-115.6751141,-115.6721292,-0.003454875,-0.00298485,-115.6716592,0.000470025
1775,C,6,methanol,acetonitrile,-0.20128,-0.29862,0.15482,0.00290997,mol2_acetonitrile_1098_s_acetonitrile_25,mol2_acetonitrile_1098_s_acetonitrile_250,-115.6759965,-115.6721292,-0.004116268,-0.0038673,-115.6718803,0.000248968
1775,O,8,methanol,acetonitrile,0.55777,0.479612,-0.817342,6.36E-05,mol2_acetonitrile_1098_s_acetonitrile_25,mol2_acetonitrile_1098_s_acetonitrile_251,-115.6759965,-115.6721292,-0.004116268,-0.0038673,-115.6718803,0.000248968
1775,H,1,methanol,acetonitrile,0.471695,-0.381486,1.052338,0.00238581,mol2_acetonitrile_1098_s_acetonitrile_25,mol2_acetonitrile_1098_s_acetonitrile_252,-115.6759965,-115.6721292,-0.004116268,-0.0038673,-115.6718803,0.000248968
1775,H,1,methanol,acetonitrile,-1.228852,0.144548,0.428858,0.00595619,mol2_acetonitrile_1098_s_acetonitrile_25,mol2_acetonitrile_1098_s_acetonitrile_253,-115.6759965,-115.6721292,-0.004116268,-0.0038673,-115.6718803,0.000248968
1775,H,1,methanol,acetonitrile,-0.316211,-1.307918,-0.295523,0.0021348,mol2_acetonitrile_1098_s_acetonitrile_25,mol2_acetonitrile_1098_s_acetonitrile_254,-115.6759965,-115.6721292,-0.004116268,-0.0038673,-115.6718803,0.000248968
